Interview Number,Name of Designer,Area of Expertise,Experience in design in Carnival (yrs),Duration of interview (hrs),Date of Interview
1,Anthony Tang Kai,Production Manager,8,1.42,29-Dec-12
2,Robert Frederick,Designer & Prototypist,30,1.45,29-Dec-12
3,Meiling,Fashion Designer,10,1,4-Jan-13
4,Albert Bailey,Designer & Wire Bender,67,2.3,4-Jan-13
5,Stephen Derek,Designer & Wire Bender,50,1.88,5-Jan-13
6,Roland St. George,Bandleader,40,1.47,6-Jan-13
7,Lari Richardson,Artist & Lecturer,26,1.37,8-Jan-13
8,Liselle Frauenfelder,Designer,2,1.12,9-Jan-13
9,Robert Miller,Designer/ Artist/ Fabricator,50,2.57,9-Jan-13
10,Glendon Morris,Copper Repousse artist,50,1.58,10-Jan-13
11,Todd Gulick,Creative Collaborator,30,3.08,10-Jan-13
12,Peter Minshall,Designer/ Artist,59,2.08,11-Jan-13
13,James Hackett,Illustrator & Designer,15,0.5,5-Mar-13
14,Clary Salandy,Designer,25,2.5,7-Mar-13
